no_pars=  42
no_Sims=  200
Type_of_Obj_fn=  multiple
Sim_No.    r__CN2.mgt  v__ESCO.hru  v__HRU_SLP.hru  v__OV_N.hru  v__SLSUBBSN.hru  v__ALPHA_BF.gw  v__CH_N2.rte  v__CH_K2.rte  a__GWQMN.gw  a__GW_REVAP.gw  v__REVAPMN.gw  v__GW_DELAY.gw  v__GWQMN.gw  v__GW_REVAP.gw  v__ALPHA_BNK.rte  r__AUTO_EFF{[],11,AUTO_NSTRS=0.6}.mgt  r__CN2.mgt________1  r__SOL_AWC(1).sol________1  r__SOL_K(1).sol________1  r__SOL_BD(1).sol________1  a__GWQMN.gw________1  a__GW_REVAP.gw________1  v__REVAPMN.gw________1  a__ESCO.hru________1  r__HRU_SLP.hru________1  r__OV_N.hru________1  r__SLSUBBSN.hru________1  a__GWQMN.gw________3-6  a__GW_REVAP.gw________3-6  v__REVAPMN.gw________3-6  a__ESCO.hru________3-6  r__HRU_SLP.hru________3-6  r__OV_N.hru________3-6  r__SLSUBBSN.hru________3-6  r__CN2.mgt________7,12,15,16-20  a__GWQMN.gw________7,12,15,16-20  a__GW_REVAP.gw________7,12,15,16-20  v__REVAPMN.gw________7,12,15,16-20  a__ESCO.hru________7,12,15,16-20  r__HRU_SLP.hru________7,12,15,16-20  r__OV_N.hru________7,12,15,16-20  r__SLSUBBSN.hru________7,12,15,16-20 multi_goal_value
159     0.0070  -0.0825   0.0037   0.1699  92.8412   0.9125   0.1483  46.0250 241.0750   0.1042 218.7500 -32.7675   0.8737  -0.0278   0.3687   0.2936   0.0408   0.0255  -0.3697  -0.2483   0.1595  -0.0297   7.9488   0.0481   0.0611  -0.1402   0.0417  11.5206  -0.0431   5.9503   0.1244   0.2155  -0.1636   0.1745   0.3110  -0.0720   0.0233  11.9725   0.0221   0.0316  -0.0411   0.1095  -6.171896
160    -0.0865   0.3725   0.0053   0.1493  91.5587   0.2275   0.2092  22.7750 248.4250   0.1018 380.7500 -22.0325   1.1628  -0.1153   0.1659   0.3718  -0.0117  -0.0055  -0.8242   0.0861   2.0765  -0.0485  10.1763  -0.0044   0.0774  -0.1587   0.1023  21.0827  -0.0307   5.5708   0.1004   0.1515  -0.1379   0.0365   0.3550   3.4800   0.0013  11.3425   0.0041   0.0916   0.0279   0.0635  -4.494415
161    -0.0035   0.3375   0.0025   0.1753  93.0212   0.8075   0.2249  47.8250 517.9250   0.1587 314.7500  34.4675   0.6952   0.0428  -0.0447   0.3672  -0.1213   0.0485  -0.3923   0.0289   7.6145  -0.0299   7.5637   0.0436   0.1502  -0.1142   0.0063   7.9008  -0.0329   2.6727   0.1508   0.2455  -0.1275   0.0345   0.1590 -12.7440   0.0040  12.4675  -0.0476   0.0685   0.0294   0.1885  -4.759977
162    -0.0665   0.2175   0.0219   0.1724  92.9088   0.7325   0.1325  32.8250 253.3250   0.1727 232.2500 -41.8075   0.6697   0.0071   0.0021   0.2913   0.0153   0.0875  -0.6668  -0.0063  10.5965  -0.0425   7.5363   0.0294   0.1554  -0.1667   0.1161  18.2141  -0.0387   8.5378   0.1212   0.2645  -0.1433   0.0665   0.2790  -5.2560   0.0148  14.8075   0.0116   0.1031  -0.0051   0.1275  -17.694059
163    -0.0802  -0.1625   0.0171   0.1648  92.3012   0.4175   0.2228  22.9250 297.4250   0.1482 404.7500  13.5625   0.4487   0.0156  -0.0525   0.2959  -0.0282   0.0715  -0.8692  -0.1999   1.0825  -0.0395   9.7087   0.1014   0.1521  -0.1717   0.0651  15.1406  -0.0339   7.4682   0.1356   0.1735  -0.1602   0.1635   0.2610 -10.7280   0.0251   9.1825  -0.0626   0.0811  -0.0359   0.0565  -3.100548
164    -0.0749   0.2075   0.0257   0.1511  91.5362   0.1975   0.1283  34.4750 140.6250   0.1573 410.7500 -36.1575   1.3073  -0.0312   0.2933   0.3753   0.0258   0.0385  -0.5813  -0.2989   0.9405  -0.0541   6.0237   0.0849   0.1313  -0.1957   0.0303  16.3699  -0.0451   7.8133   0.0972   0.2285  -0.1631   0.0245   0.1910   0.8880   0.0028   9.8125  -0.0896   0.1048  -0.0291   0.0675  -6.785667
165    -0.0833   0.0275   0.0049   0.1355  89.8712   0.0775   0.1756  33.2750 228.8250   0.1287 349.2500 -49.1525   1.8003  -0.0295  -0.0213   0.3086  -0.1437  -0.0865  -0.9818   0.0069   3.5675  -0.0249  10.6438   0.1081   0.0546  -0.1287   0.0171  17.6677  -0.0351   4.5012   0.0588   0.2295  -0.1988   0.1255   0.3530  -7.9440   0.0025  15.6175   0.0139   0.1064  -0.0561   0.0645  -3.946172
166    -0.0308  -0.0875   0.0065   0.1471  91.2213   0.1575   0.2690  38.6750 236.1750   0.1398 260.7500  11.3025   1.4008  -0.0932   0.1581   0.2189  -0.0072   0.0095  -0.5182   0.1081   1.7925  -0.0229   8.7188   0.0346   0.0871  -0.1047   0.0921  12.4086  -0.0567   4.3977   0.1276   0.1985  -0.1285   0.1225   0.2810 -13.5120   0.0217  10.8475  -0.0244   0.0608  -0.0771   0.0355  -1.822423
167    -0.0970   0.6075   0.0093   0.1451  90.5462   0.4775   0.2764  32.6750 294.9750   0.1412 325.2500  12.4325   1.6473   0.0326   0.2543   0.2706  -0.1077  -0.0775  -0.9682   0.0399   1.5085  -0.0391   9.2688   0.0699   0.0748  -0.1793   0.0621  13.3647  -0.0483   4.1908   0.1420   0.2955  -0.1404   0.1385   0.2310  -1.1280   0.0047  14.0425   0.0259   0.0459   0.0226   0.0735  -3.113390
168    -0.0718   0.0525   0.0251   0.1408  92.5938   0.3075   0.1588  48.8750 588.9750   0.1698 388.2500  46.8975   1.1202   0.0241   0.2517   0.3235   0.0227  -0.0835  -0.5497  -0.2285  -2.3255  -0.0209   7.7288   0.1389   0.1086  -0.1268   0.0993  19.1019  -0.0429   6.3643   0.0812   0.1385  -0.1879   0.0645   0.4970  -6.6000   0.0023   7.6525  -0.0034   0.0371  -0.0044   0.1525  -5.348640
169    -0.0686  -0.2325   0.0121   0.1796  92.5038   0.5475   0.1682  36.5750 564.4750   0.1138 266.7500  12.9975   1.8598   0.0147   0.2647   0.2856   0.1248  -0.0165  -0.7477  -0.1889   6.5495  -0.0515  10.4788   0.1336   0.1398  -0.1067   0.0753  16.7798  -0.0447   5.7087   0.0940   0.1955  -0.1938   0.1365   0.4790 -11.7840   0.0281  13.4575  -0.0259   0.0432  -0.0231   0.0425  -2.685477
170    -0.1348   0.4125   0.0241   0.1424  90.9063   0.3625   0.1346  34.6250 285.1750   0.1832 428.7500 -24.2925   1.4772  -0.0286   0.1347   0.2235   0.1037   0.0825  -0.3022   0.1279   5.2715  -0.0459   9.3512   0.0894   0.1450  -0.1367   0.0681   9.4033  -0.0423   6.7438   0.0620   0.2605  -0.1413   0.1765   0.2350 -11.4960   0.0197  10.1275   0.0589   0.0047  -0.0891   0.1465  -4.684097
171     0.0311  -0.2475   0.0255   0.1543  92.4137   0.1175   0.1336  39.5750 552.2250   0.1382 419.7500  28.2525   0.3977  -0.0754   0.0385   0.2752  -0.1332   0.0695  -0.8873  -0.2747  -0.9055  -0.0295   6.2987   0.0729   0.1651  -0.1293   0.0519  14.1844  -0.0461   6.9852   0.1388   0.1995  -0.1527   0.1675   0.4130  -3.1440   0.0133  15.2575   0.0394   0.0910  -0.0419   0.1015  -6.692614
172     0.0217  -0.0925   0.0269   0.1720  93.6513   0.7125   0.1304  30.1250 422.3750   0.1803 394.2500   1.6975   1.8513  -0.0159  -0.0265   0.2764   0.0782  -0.0715  -0.9187   0.0179  -1.3315  -0.0543   8.9662  -0.0051   0.1151  -0.1542   0.0273  10.9060  -0.0515   5.6398   0.0748   0.2965  -0.1651   0.1065   0.3470  -0.8400   0.0089   7.8775  -0.0836   0.0646   0.0121   0.0725  -7.752940
173     0.0521   0.3925   0.0273   0.1391  92.9987   0.7775   0.2018  39.2750 456.6750   0.1848 250.2500 -48.0225   1.6387   0.0368   0.2699   0.2637   0.0108  -0.0605  -0.4462   0.0025   5.4135  -0.0463   6.2438   0.0369   0.0468  -0.1163   0.0297  19.5800  -0.0541   5.7778   0.1012   0.2025  -0.1364   0.0425   0.2970 -11.8800   0.0272  10.0825   0.0506   0.0839   0.0339   0.0255  -5.841401
174    -0.0655  -0.0125   0.0349   0.1337  90.0062   0.8425   0.2480  21.8750 584.0750   0.1227 256.2500  42.3775   1.6133  -0.0482   0.2205   0.2442   0.0033  -0.0985  -0.8737  -0.1471  -1.6155  -0.0499   6.4913   0.0414   0.1281  -0.1203   0.1173  19.7850  -0.0345   6.7783   0.0300   0.2875  -0.1225   0.1025   0.3490 -14.0880   0.0139   8.0575   0.0064   0.0817  -0.0726   0.0165  -3.133363
175     0.0406  -0.2275   0.0161   0.1652  89.5788   0.2375   0.2449  34.0250 513.0250   0.1262 305.7500   7.3475   1.3327  -0.0150   0.3089   0.3626   0.0498  -0.0135  -0.4688   0.0707   5.7685  -0.0585   7.0963   0.0114   0.0839  -0.1698   0.1077   8.5837  -0.0691   4.9843   0.0028   0.1795  -0.1017   0.1545   0.1190  -5.3520   0.0289   9.5425   0.0499   0.0080   0.0174   0.0035  -3.602070
176    -0.0182   0.0075   0.0165   0.1625  92.0313   0.0025   0.2617  49.4750 116.1250   0.1667 290.7500 -27.1175   0.3638  -0.0448   0.2725   0.2143  -0.0733   0.0465  -0.3562   0.0993   6.0525  -0.0231   8.9937   0.1351   0.0553  -0.1343   0.0609  16.6432  -0.0381   6.6403   0.0372   0.2815  -0.1473   0.0745   0.3990  -1.6080   0.0061  10.6225  -0.0791   0.0025  -0.0666   0.1285  -8.835195
177     0.0185  -0.1225   0.0051   0.1507  92.7513   0.1225   0.0905  42.8750 562.0250   0.1782 365.7500  10.1725   0.7038  -0.0516   0.1945   0.3695  -0.0492  -0.0975  -0.4327  -0.1185  -0.9765  -0.0593  11.0287   0.0564   0.0403  -0.1517   0.0987  14.5259  -0.0655   7.5027   0.0716   0.1335  -0.1314   0.0335   0.4390   0.4080   0.0232   7.6975   0.0551   0.0234   0.0459   0.1545  -2.972558
178    -0.0487   0.6325   0.0225   0.1406  92.8637   0.0975   0.2911  35.0750 581.6250   0.1248 253.2500 -29.3775   1.1372  -0.1179  -0.0499   0.2695  -0.0012   0.0065  -0.9097  -0.0459   8.3955  -0.0273   6.0512   0.1366   0.0598  -0.1577   0.0441  13.1599  -0.0565   4.8463   0.1596   0.1055  -0.1849   0.1555   0.2630  -4.6800   0.0002   8.2375  -0.0416   0.0030  -0.0426   0.1185  -3.915658
179    -0.0025  -0.0775   0.0211   0.1469  91.8512   0.4375   0.1199  30.8750 596.3250   0.1497 317.7500  53.6775   0.5763  -0.0873   0.2491   0.3868   0.1233   0.0315  -1.0807  -0.2307   1.5795  -0.0583   6.1337   0.1149   0.0527  -0.1357   0.1083  10.1546  -0.0379   3.5008   0.0044   0.1745  -0.1923   0.1325   0.1810  -0.5520   0.0041  15.0325  -0.0229   0.0184   0.0106   0.1435  -4.062268
180    -0.1295  -0.1375   0.0279   0.1729  91.2438   0.8675   0.1535  33.4250 490.9750   0.1182 377.7500 -44.6325   1.9872   0.0309   0.2985   0.3454   0.0932   0.0205  -0.8152   0.0685  -0.3375  -0.0211   6.7937   0.1186   0.1066  -0.1423   0.0951  21.3559  -0.0647   5.0877   0.0420   0.2975  -0.1958   0.0705   0.1330  -3.5280   0.0052  15.7975   0.0154   0.0635   0.0046   0.1335  -5.956777
181     0.0101   0.6025   0.0079   0.1549  89.6012   0.9525   0.1997  28.1750 500.7750   0.1028 455.7500  -3.3875   1.7578  -0.1009  -0.1227   0.3212  -0.0463   0.0755  -0.2707   0.0487   6.6205  -0.0523  10.3412   0.0541   0.1528  -0.1398   0.0939   9.8814  -0.0599   8.3308   0.0460   0.1595  -0.1052   0.0785   0.4050   2.3280   0.0253   9.0475  -0.0409   0.0256  -0.0246   0.1395  -9.201113
182    -0.1043   0.4225   0.0059   0.1475  91.9638   0.3325   0.2312  32.2250 554.6750   0.1602 262.2500  -6.7775   0.3383  -0.0422   0.2595   0.2476  -0.1468   0.0975  -0.6352  -0.0569   4.6325  -0.0349   9.2962   0.0301   0.0806  -0.1072   0.1071  17.7360  -0.0457   3.2592   0.1196   0.2085  -0.1126   0.0915   0.1550   0.2160   0.0109  13.6375  -0.0364   0.0723  -0.0336   0.0545  -5.355829
183     0.0227   0.1975   0.0077   0.1348  90.5687   0.3375   0.1630  37.7750 343.9750   0.1653 235.2500  -4.5175   1.6897  -0.0371  -0.0005   0.2097  -0.1482  -0.0185  -0.6217  -0.2219   3.8515  -0.0521  10.7813   0.0196   0.0878  -0.1838   0.0147   8.0373  -0.0497   8.8482   0.0508   0.1425  -0.1844   0.1245   0.3950  -5.7360   0.0080   8.1025  -0.0746   0.0751  -0.0876   0.1875  -7.108266
184     0.0238   0.3475   0.0243   0.1462  93.5612   0.4625   0.1987  34.7750 187.1750   0.1217 310.2500  49.7225   0.3298  -0.1170   0.3531   0.3097   0.1067   0.0635  -0.9413  -0.0767   1.7215  -0.0291   7.8113   0.0684   0.1099  -0.1708   0.0909  14.7991  -0.0393   6.6747   0.0564   0.2785  -0.1512   0.1305   0.2670   1.2720   0.0181  15.1225   0.0424   0.0294  -0.0134   0.0335  -5.138639
185    -0.0235   0.5575   0.0127   0.1447  90.4112   0.9625   0.2134  27.7250 471.3750   0.1713 412.2500 -28.8125   1.9023  -0.0397   0.0905   0.3764  -0.1513  -0.0075  -0.7793  -0.0613   6.4785  -0.0279  10.3962   0.0999   0.0455  -0.1133   0.0645  15.3455  -0.0367   7.7098   0.0996   0.1685  -0.1542   0.0145   0.3390  -4.8720   0.0121  11.2075   0.0034   0.0828  -0.0021   0.0755  -3.227780
186    -0.1201   0.2875   0.0249   0.1226  89.7363   0.5375   0.1472  45.4250 182.2750   0.1123 302.7500  38.9875   1.3752  -0.0864  -0.0031   0.3741  -0.0253   0.0235  -1.0987  -0.1207  11.0935  -0.0525  10.2037  -0.0036   0.0956  -0.1947   0.0729   8.1740  -0.0341   3.7422   0.1372   0.2205  -0.1809   0.1175   0.2650   1.0800   0.0263  11.3875   0.0214   0.0448  -0.0516   0.1085  -4.541955
187     0.0437   0.1825   0.0289   0.1798  91.3562   0.3575   0.1388  27.5750 412.5750   0.1238 226.2500  51.9825   0.4148  -0.0796   0.0411   0.2488   0.0873  -0.0585  -0.5048   0.0355   9.4605  -0.0449   7.8663   0.0226   0.1677  -0.1007   0.0579   8.2423  -0.0415   8.6412   0.0844   0.2725  -0.1235   0.0395   0.3370  -1.7040   0.0239   8.9575   0.0026   0.0151  -0.0944   0.1565  -7.132904
188    -0.0266  -0.0675   0.0183   0.1778  92.7288   0.7875   0.2375  35.3750 111.2250   0.1002 379.2500 -15.2525   1.4178  -0.0941   0.2569   0.1775   0.0288   0.0785  -0.8198   0.1345  10.0995  -0.0355   9.5988   0.1141   0.1339  -0.1713   0.0183  19.5118  -0.0473   2.8108   0.1588   0.2895  -0.1270   0.1095   0.2370 -10.3440   0.0086   9.1375   0.0146   0.1092  -0.0299   0.1305  -4.209339
189    -0.0928   0.4575   0.0105   0.1238  89.5113   0.7925   0.2743  43.1750 397.8750   0.1873 424.2500  32.2075   1.4943   0.0487  -0.0343   0.3661  -0.1047  -0.0315  -0.4103   0.0597  -2.1125  -0.0307   6.5738   0.0459   0.1534  -0.1852   0.0015  13.9111  -0.0613   5.5017   0.0340   0.2355  -0.1720   0.0525   0.1890  -4.3920   0.0068   8.1925  -0.0146   0.0212  -0.0164   0.0375  -4.079015
190     0.0343   0.4775   0.0001   0.1751  92.8863   0.7375   0.2942  41.6750 353.7750   0.1663 409.2500   5.0875   1.2817   0.0300   0.2855   0.3776   0.0693  -0.0225  -0.8018  -0.2395  -1.2605  -0.0423   8.6912   0.0496   0.0676  -0.1682   0.0567  17.8726  -0.0639   2.4313   0.0100   0.2345  -0.1894   0.0715   0.3710  -6.1200   0.0104   9.0925  -0.0281   0.0630  -0.0681   0.1135  -4.298400
191     0.0574  -0.0725   0.0369   0.1261  91.6038   0.9075   0.2900  21.4250 476.2750   0.1528 484.2500 -21.4675   1.5792   0.0462   0.1867   0.3063   0.1277  -0.0565  -0.8468  -0.1581   0.0885  -0.0369   8.5262   0.1111   0.0735  -0.1803   0.0741  13.5696  -0.0563   6.5023   0.0532   0.1105  -0.1374   0.0615   0.1650 -14.3760   0.0247   9.9925  -0.0236   0.0729  -0.0576   0.1775  -3.787263
192    -0.0466  -0.0325   0.0353   0.1601  91.0863   0.4825   0.2039  33.7250 150.4250   0.1838 487.2500 -16.3825   0.4232  -0.1111   0.2673   0.3189  -0.0658   0.0005  -0.2663  -0.0129   6.2655  -0.0367   7.5912   0.0099   0.0429  -0.1353   0.0855   9.2668  -0.0629   3.1902   0.0060   0.1245  -0.1780   0.0585   0.3230   3.0960   0.0124  11.6125  -0.0754   0.0718  -0.0089   0.0005  -4.676121
193    -0.0560   0.2325   0.0109   0.1268  93.8763   0.0275   0.1735  44.2250 314.5750   0.1067 494.7500  45.7675   1.7917   0.0334   0.2387   0.1844   0.0483  -0.0505  -0.9277  -0.1713   4.7745  -0.0257  10.0387   0.1104   0.0657  -0.1088   0.0453  16.9163  -0.0575   7.0887   0.1532   0.2755  -0.1265   0.1455   0.3410   3.2880   0.0167  11.4325  -0.0641   0.0322   0.0346   0.1215  -8.425413
194    -0.0812   0.1425   0.0203   0.1681  91.4013   0.2825   0.2785  46.9250 498.3250   0.1013 299.7500  24.2975   0.7293  -0.1026   0.0151   0.3523   0.0737  -0.0995  -0.3428  -0.0591   4.0645  -0.0287   9.5162   0.0399   0.1261  -0.1093   0.0099  10.0864  -0.0633   4.2597   0.0252   0.2445  -0.1710   0.1475   0.1430   1.3680   0.0262  13.7275  -0.0761   0.0866  -0.0194   0.1115  -19.454716
195    -0.1022  -0.2925   0.0027   0.1702  90.2763   0.1825   0.2953  42.7250 299.8750   0.1887 202.2500  29.9475   0.9162  -0.0915   0.3375   0.3856  -0.0627  -0.0935  -0.9143  -0.0987   5.8395  -0.0263   8.8013   0.0211   0.1177  -0.1978   0.0231   9.6765  -0.0487   4.9497   0.0908   0.1485  -0.1983   0.1875   0.1110   2.2320   0.0166   7.3375  -0.0439   0.0965   0.0129   0.1795  -2.563229
196    -0.0067   0.1725   0.0229   0.1574  89.5338   0.5875   0.2533  41.3750 292.5250   0.1347 364.2500  44.0725   1.1543   0.0028  -0.0291   0.3960  -0.0793  -0.0905  -0.5228  -0.2021   7.3305  -0.0225   6.6013   0.0706   0.1586  -0.1437   0.0945  13.2282  -0.0623   7.2267   0.0756   0.1545  -0.1760   0.1935   0.4990  -4.2000   0.0136  13.0975  -0.0041   0.0476  -0.0284   0.0855  -5.052011
197    -0.1369  -0.2125   0.0233   0.1610  90.6588   0.0425   0.1609  42.4250 542.4250   0.1828 287.7500  22.6025   1.9362  -0.0176  -0.0577   0.1993   0.0962   0.0195  -0.4597  -0.2813  -0.4085  -0.0353  10.8638   0.0601   0.0507  -0.1507   0.1089   9.1985  -0.0555   3.0868   0.1540   0.2985  -0.1765   0.1995   0.1030  -4.9680   0.0122  10.5325  -0.0484   0.0514  -0.0261   0.1145  -10.127799
198     0.0542   0.3975   0.0013   0.1693  89.6687   0.8875   0.2512  31.9250 503.2250   0.1998 382.2500 -14.1225   0.7377  -0.1085   0.1425   0.2879   0.0812   0.0665  -0.4642  -0.2527   3.0705  -0.0363   7.5087   0.1066   0.1027  -0.1117   0.0837  15.4820  -0.0369   8.2962   0.0156   0.2615  -0.1146   0.0825   0.1710  -5.5440   0.0188  12.7825  -0.0424   0.0800  -0.0929   0.0265  -3.455841
199    -0.0907  -0.1775   0.0035   0.1657  92.4362   0.8975   0.2638  28.9250 481.1750   0.1233 463.2500  25.4275   0.3722  -0.0771   0.3219   0.2396   0.0393   0.0145  -0.3338  -0.1361   3.7805  -0.0301   7.4812   0.0759   0.0715  -0.1943   0.1131  13.5014  -0.0557   2.9488   0.1092   0.1785  -0.1131   0.0875   0.1950   1.7520   0.0199  14.0875  -0.0446   0.0437  -0.0599   0.1805  -2.197478
200     0.0091  -0.2825   0.0193   0.1717  91.6937   0.3875   0.2407  32.0750 410.1250   0.1192 272.7500  41.8125   1.0438  -0.0660   0.0957   0.2603   0.1112  -0.0915  -0.7657  -0.1405  -1.0475  -0.0589   7.4538   0.1164   0.1658  -0.1898   0.0711  13.0915  -0.0591   6.4332   0.0868   0.1585  -0.1750   0.0655   0.1130   1.4640   0.0220  14.4925   0.0281   0.0349   0.0061   0.1165  -4.242889
