sim_no   goal_mmse    goal_smse    goal_r2    goal_chi2    goal_ns    goal_br2    goal_ssqr    goal_pbias    goal_kge    goal_rsr    goal_mns
175     9550.726563  107.328529   0.577654   51.088219   0.503019   0.406284   15.204021   23.277088   0.650245   0.704565   0.412840
176     13971.226563  125.062050   0.501378   61.862755   0.399964   0.172297   65.970924   26.699757   0.350591   0.774515   0.343237
177     8296.311523  99.069138   0.596039   47.584755   0.537423   0.411302   15.581078   22.572178   0.655962   0.679968   0.439141
178     7380.406250  93.601341   0.619521   44.884583   0.563616   0.357426   27.036240   25.850697   0.570437   0.660402   0.473969
179     8602.990234  98.336044   0.572357   48.526573   0.529234   0.307555   26.363159   23.016365   0.556041   0.686063   0.426265
180     15460.792969  138.393219   0.494090   65.111328   0.366027   0.340362   19.453262   23.358372   0.611770   0.795250   0.350343
181     22865.958984  168.610764   0.416859   79.207184   0.228687   0.268566   25.244486   26.664545   0.548419   0.877079   0.288556
182     11327.924805  116.865707   0.553822   55.637783   0.458768   0.381137   20.598015   27.575781   0.610356   0.735269   0.394147
183     15747.462891  138.705856   0.489353   65.647095   0.361107   0.326031   23.694731   27.634697   0.582360   0.798620   0.342340
184     9133.931641  101.854424   0.572557   49.964638   0.515066   0.315171   28.574734   27.374767   0.542661   0.696361   0.426129
185     6556.233398  86.301758   0.641888   42.330772   0.589154   0.414604   20.538616   26.433846   0.615455   0.640963   0.471259
186     7850.291504  94.132446   0.612111   46.339893   0.550366   0.344951   28.187775   27.511059   0.550468   0.670513   0.448971
187     11125.644531  112.794998   0.550255   55.124725   0.464833   0.229553   51.821560   27.038036   0.423896   0.731551   0.383083
188     11190.466797  116.356995   0.550139   55.308533   0.461906   0.385877   15.667984   23.022575   0.641913   0.733082   0.392874
189     7636.182617  93.597626   0.614481   45.663174   0.556630   0.372113   23.288689   27.146935   0.583350   0.665859   0.453596
190     9260.745117  105.008354   0.587291   50.282227   0.511084   0.405938   18.626831   26.769728   0.626600   0.698990   0.424065
191     10208.878906  109.605133   0.560736   52.781422   0.487007   0.388065   14.977059   22.860222   0.646569   0.716113   0.406423
192     12295.788086  122.152763   0.533168   57.984985   0.435807   0.371292   16.486073   23.091772   0.633562   0.750599   0.380056
193     13465.359375  123.183464   0.495716   60.697990   0.411091   0.188265   55.233715   27.970055   0.385389   0.767354   0.347941
